id,doi,title,publication_year,authorships,subfield,primary_topic
W4406025648,10.1103/physreva.111.012404,Finite-temperature detection of quantum critical points via internal quantum teleportation,2025,"[{""id"": ""A5066890806"", ""name"": ""G A P Ribeiro"", ""institutions"": [{""id"": ""I177909021"", ""display_name"": ""Universidade Federal de S\u00e3o Carlos""}], ""countries"": [""BR""]}, {""id"": ""A5022276636"", ""name"": ""Gustavo Rigolin"", ""institutions"": [{""id"": ""I177909021"", ""display_name"": ""Universidade Federal de S\u00e3o Carlos""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1702"", ""display_name"": ""Artificial Intelligence""}","{'id': 'T10020', 'display_name': 'Quantum Information and Cryptography'}"
W4406025689,10.1103/physreva.111.012403,Coherence based on positive operator-valued measures for standard and concatenated quantum state discrimination with inconclusive results,2025,"[{""id"": ""A5054467282"", ""name"": ""L. F. Melo"", ""institutions"": [{""id"": ""I1329807341"", ""display_name"": ""Servi\u00e7o Nacional de Aprendizagem Industrial""}, {""id"": ""I110200422"", ""display_name"": ""Universidade Federal de Minas Gerais""}], ""countries"": [""BR""]}, {""id"": ""A5013991308"", ""name"": ""O. Jim\u00e9nez"", ""institutions"": [{""id"": ""I116419501"", ""display_name"": ""Universidad Mayor""}], ""countries"": [""CL""]}, {""id"": ""A5014876896"", ""name"": ""Leonardo Neves"", ""institutions"": [{""id"": ""I110200422"", ""display_name"": ""Universidade Federal de Minas Gerais""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1702"", ""display_name"": ""Artificial Intelligence""}","{'id': 'T10020', 'display_name': 'Quantum Information and Cryptography'}"
W4406028121,10.1109/access.2025.3525639,Multitenancy in Single Instance of Data Persistence Service for Supporting Low-Code Platforms,2025,"[{""id"": ""A5036090730"", ""name"": ""J\u00falio G. S. F. da Costa"", ""institutions"": [{""id"": ""I35046152"", ""display_name"": ""Universidade Federal do Rio Grande do Norte""}], ""countries"": [""BR""]}, {""id"": ""A5010487704"", ""name"": ""Luiz M. G. Gon\u00e7alves"", ""institutions"": [{""id"": ""I35046152"", ""display_name"": ""Universidade Federal do Rio Grande do Norte""}], ""countries"": [""BR""]}, {""id"": ""A5068745057"", ""name"": ""Samuel Xavier\u2010de\u2010Souza"", ""institutions"": [{""id"": ""I35046152"", ""display_name"": ""Universidade Federal do Rio Grande do Norte""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T10101', 'display_name': 'Cloud Computing and Resource Management'}"
W4406028173,10.1109/jiot.2025.3525779,Cost-Effective Strategy for IIoT Security Based on Bi-Objective Optimization,2025,"[{""id"": ""A5037794785"", ""name"": ""Sofiane Hamrioui"", ""institutions"": [{""id"": ""I4210155865"", ""display_name"": ""\u00c9cole Sup\u00e9rieure Angevine d'Informatique et de Productique""}, {""id"": ""I2800745255"", ""display_name"": ""Universit\u00e9 de Haute-Alsace""}, {""id"": ""I48825208"", ""display_name"": ""Universit\u00e9 Paris 8""}], ""countries"": [""FR""]}, {""id"": ""A5071383873"", ""name"": ""Pascal Lorenz"", ""institutions"": [{""id"": ""I2800745255"", ""display_name"": ""Universit\u00e9 de Haute-Alsace""}], ""countries"": [""FR""]}, {""id"": ""A5061267204"", ""name"": ""Jaime Lloret"", ""institutions"": [{""id"": ""I2800745255"", ""display_name"": ""Universit\u00e9 de Haute-Alsace""}, {""id"": ""I60053951"", ""display_name"": ""Universitat Polit\u00e8cnica de Val\u00e8ncia""}], ""countries"": [""ES"", ""FR""]}, {""id"": ""A5076776322"", ""name"": ""Joel J. P. C. Rodrigues"", ""institutions"": [{""id"": ""I3121799822"", ""display_name"": ""Universidade Federal do Piau\u00ed""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1705"", ""display_name"": ""Computer Networks and Communications""}","{'id': 'T10273', 'display_name': 'IoT and Edge/Fog Computing'}"
W4406028478,10.56238/arev7n1-039,EXPLORING COMPUTATIONAL THINKING: AN ANALYSIS WITH SCIENCE TEACHERS FROM THE PERSPECTIVE OF ACTOR-NETWORK THEORY,2025,"[{""id"": ""A5014141818"", ""name"": ""Marcelo Batista Fornari"", ""institutions"": [{""id"": ""I52418104"", ""display_name"": ""Universidade Federal do Paran\u00e1""}, {""id"": ""I193876067"", ""display_name"": ""Universidade Estadual do Oeste do Paran\u00e1""}, {""id"": ""I47403697"", ""display_name"": ""Instituto Federal de Educa\u00e7\u00e3o, Ci\u00eancia e Tecnologia de Santa Catarina""}], ""countries"": [""BR""]}, {""id"": ""A5032515570"", ""name"": ""Fernanda Aparecida Meglhioratti"", ""institutions"": [{""id"": ""I879563668"", ""display_name"": ""Universidade Estadual Paulista (Unesp)""}, {""id"": ""I1283613182"", ""display_name"": ""Universidade Tecnol\u00f3gica Federal do Paran\u00e1""}, {""id"": ""I193876067"", ""display_name"": ""Universidade Estadual do Oeste do Paran\u00e1""}], ""countries"": [""BR""]}, {""id"": ""A5026000133"", ""name"": ""Daniela Frigo Ferraz"", ""institutions"": [], ""countries"": []}]","{""id"": ""subfields/1706"", ""display_name"": ""Computer Science Applications""}","{'id': 'T11122', 'display_name': 'Online Learning and Analytics'}"
W4406031566,10.1007/s10596-024-10333-7,Two-phase flow in heterogeneous porous media based on Brinkman and Darcy models,2025,"[{""id"": ""A5115756614"", ""name"": ""Thiago F. Konopka"", ""institutions"": [{""id"": ""I2699952"", ""display_name"": ""Pontifical Catholic University of Rio de Janeiro""}], ""countries"": [""BR""]}, {""id"": ""A5091329275"", ""name"": ""M\u00e1rcio S. Carvalho"", ""institutions"": [{""id"": ""I2699952"", ""display_name"": ""Pontifical Catholic University of Rio de Janeiro""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1703"", ""display_name"": ""Computational Theory and Mathematics""}","{'id': 'T12100', 'display_name': 'Advanced Mathematical Modeling in Engineering'}"
W4406039448,10.9734/jamcs/2025/v40i11959,A Duality Principle and Concerning Convex Dual Formulation for a Model in Micro-Magnetism,2025,"[{""id"": ""A5052282457"", ""name"": ""Fabio Botelho"", ""institutions"": [{""id"": ""I4104125"", ""display_name"": ""Universidade Federal de Santa Catarina""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1703"", ""display_name"": ""Computational Theory and Mathematics""}","{'id': 'T12100', 'display_name': 'Advanced Mathematical Modeling in Engineering'}"
W4406052322,10.1111/tgis.13297,HEUA‐SDI: Usability Assessment of Spatial Data Infrastructures,2025,"[{""id"": ""A5025456416"", ""name"": ""Priscila de Lima Silva"", ""institutions"": [{""id"": ""I146165071"", ""display_name"": ""Universidade Federal de Vi\u00e7osa""}], ""countries"": [""BR""]}, {""id"": ""A5065529217"", ""name"": ""Afonso de Paula dos Santos"", ""institutions"": [{""id"": ""I146165071"", ""display_name"": ""Universidade Federal de Vi\u00e7osa""}], ""countries"": [""BR""]}, {""id"": ""A5036378111"", ""name"": ""Jugurta Lisboa Filho"", ""institutions"": [{""id"": ""I146165071"", ""display_name"": ""Universidade Federal de Vi\u00e7osa""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1709"", ""display_name"": ""Human-Computer Interaction""}","{'id': 'T10470', 'display_name': 'Usability and User Interface Design'}"
W4406054113,10.1063/5.0233700,Asymptotic convergence for the dynamics of a Duffing-like oscillator under scaling analyses,2025,"[{""id"": ""A5015044430"", ""name"": ""Andr\u00e9 L. P. Livorati"", ""institutions"": [{""id"": ""I879563668"", ""display_name"": ""Universidade Estadual Paulista (Unesp)""}], ""countries"": [""BR""]}, {""id"": ""A5063656246"", ""name"": ""A Faber"", ""institutions"": [{""id"": ""I879563668"", ""display_name"": ""Universidade Estadual Paulista (Unesp)""}], ""countries"": [""BR""]}, {""id"": ""A5092822367"", ""name"": ""Daniel Borin"", ""institutions"": [{""id"": ""I879563668"", ""display_name"": ""Universidade Estadual Paulista (Unesp)""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1705"", ""display_name"": ""Computer Networks and Communications""}","{'id': 'T11187', 'display_name': 'Nonlinear Dynamics and Pattern Formation'}"
W4406062287,10.1016/j.jdent.2025.105555,Application of Automated face coding (AFC) in older adults: a pilot study,2025,"[{""id"": ""A5115767314"", ""name"": ""Elena Mshael"", ""institutions"": [{""id"": ""I202697423"", ""display_name"": ""University of Zurich""}], ""countries"": [""CH""]}, {""id"": ""A5005184865"", ""name"": ""Angela Stillhart"", ""institutions"": [{""id"": ""I202697423"", ""display_name"": ""University of Zurich""}], ""countries"": [""CH""]}, {""id"": ""A5077825521"", ""name"": ""Cl\u00e1udio Rodrigues Leles"", ""institutions"": [{""id"": ""I68106152"", ""display_name"": ""Universidade Federal de Goi\u00e1s""}, {""id"": ""I202697423"", ""display_name"": ""University of Zurich""}], ""countries"": [""BR"", ""CH""]}, {""id"": ""A5046338573"", ""name"": ""Murali Srinivasan"", ""institutions"": [{""id"": ""I202697423"", ""display_name"": ""University of Zurich""}], ""countries"": [""CH""]}]","{""id"": ""subfields/1707"", ""display_name"": ""Computer Vision and Pattern Recognition""}","{'id': 'T11448', 'display_name': 'Face recognition and analysis'}"
W4406067103,10.1007/s11042-024-20537-9,FPGA implementation of low cost and low power chaotic encryption scheme based on a discrete-space chaotic map,2025,"[{""id"": ""A5042043964"", ""name"": ""Jo\u00e3o In\u00e1cio Moreira Bezerra"", ""institutions"": [{""id"": ""I169248161"", ""display_name"": ""Universidade Federal de Pelotas""}], ""countries"": [""BR""]}, {""id"": ""A5005506826"", ""name"": ""Gustavo Machado"", ""institutions"": [{""id"": ""I169248161"", ""display_name"": ""Universidade Federal de Pelotas""}], ""countries"": [""BR""]}, {""id"": ""A5030974893"", ""name"": ""Rafael Soares"", ""institutions"": [{""id"": ""I169248161"", ""display_name"": ""Universidade Federal de Pelotas""}], ""countries"": [""BR""]}, {""id"": ""A5010001207"", ""name"": ""Vin\u00edcius Valduga de Almeida Camargo"", ""institutions"": [{""id"": ""I169248161"", ""display_name"": ""Universidade Federal de Pelotas""}], ""countries"": [""BR""]}, {""id"": ""A5021642194"", ""name"": ""Alexandre Molter"", ""institutions"": [{""id"": ""I169248161"", ""display_name"": ""Universidade Federal de Pelotas""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1707"", ""display_name"": ""Computer Vision and Pattern Recognition""}","{'id': 'T11017', 'display_name': 'Chaos-based Image/Signal Encryption'}"
W4406086921,10.37811/cl_rcm.v8i6.15259,La Didáctica y su Relación con el Proceso Enseñanza Aprendizaje y el Desarrollo del Conocimiento,2025,"[{""id"": ""A5095335353"", ""name"": ""William Alfonso Zapata Lascano"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5111306536"", ""name"": ""Johanna Raquel Mar\u00edn Quintanilla"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115778937"", ""name"": ""Mar\u00eda Elena Amancha Lagla"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115778938"", ""name"": ""Edwin Javier Narv\u00e1ez Le\u00f3n"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5115778939"", ""name"": ""Sonia del Pilar Orozco Lata"", ""institutions"": [], ""countries"": []}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T12395', 'display_name': 'Educational Innovations and Technology'}"
W4406090647,10.37811/cl_rcm.v8i6.15289,El Uso de la Inteligencia Artificial para la Personalización del Aprendizaje en Contextos Inclusivos,2025,"[{""id"": ""A5041010645"", ""name"": ""Mar\u00eda del Consuelo Cocha Millingalle"", ""institutions"": [], ""countries"": []}, {""id"": ""A5008811204"", ""name"": ""A. N\u00fa\u00f1ez"", ""institutions"": [{""id"": ""I4210140695"", ""display_name"": ""Universidad Independiente""}], ""countries"": [""CR""]}, {""id"": ""A5032839087"", ""name"": ""Meneses Pillajo Mayra Elizabeth"", ""institutions"": [{""id"": ""I4210098355"", ""display_name"": ""A\u00e7\u00e3o Educativa""}], ""countries"": [""BR""]}, {""id"": ""A5061052145"", ""name"": ""Diego Jes\u00fas Naveda Bonilla"", ""institutions"": [], ""countries"": []}, {""id"": ""A5114516785"", ""name"": ""Luisa Rosa Zhunio Suin"", ""institutions"": [{""id"": ""I4210140695"", ""display_name"": ""Universidad Independiente""}], ""countries"": [""CR""]}]","{""id"": ""subfields/1710"", ""display_name"": ""Information Systems""}","{'id': 'T12395', 'display_name': 'Educational Innovations and Technology'}"
W4406091888,10.9771/cp.v18i1.60816,"Da Sala de Aula aos Ambientes Virtuais: explorando a intersecção bibliométrica entre educação, propriedade intelectual, metaverso e realidade virtual",2025,"[{""id"": ""A5014262268"", ""name"": ""Flaviano da Silva"", ""institutions"": [{""id"": ""I3018006580"", ""display_name"": ""Instituto Federal de Educa\u00e7\u00e3o Ci\u00eancia e Tecnologia da Para\u00edba""}], ""countries"": [""BR""]}, {""id"": ""A5082346102"", ""name"": ""Larissa Oliveira Alves"", ""institutions"": [{""id"": ""I3018006580"", ""display_name"": ""Instituto Federal de Educa\u00e7\u00e3o Ci\u00eancia e Tecnologia da Para\u00edba""}], ""countries"": [""BR""]}, {""id"": ""A5016130875"", ""name"": ""Alandey Severo Leite da Silva"", ""institutions"": [{""id"": ""I3018006580"", ""display_name"": ""Instituto Federal de Educa\u00e7\u00e3o Ci\u00eancia e Tecnologia da Para\u00edba""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1706"", ""display_name"": ""Computer Science Applications""}","{'id': 'T11122', 'display_name': 'Online Learning and Analytics'}"
W4406099776,10.21105/joss.07226,DeepRiver: A Deep Learning Library for Data Streams,2025,"[{""id"": ""A5000976929"", ""name"": ""Cedric Kulbach"", ""institutions"": [{""id"": ""I143379178"", ""display_name"": ""FZI Research Center for Information Technology""}], ""countries"": [""DE""]}, {""id"": ""A5006150929"", ""name"": ""Lucas Cazzonelli"", ""institutions"": [{""id"": ""I143379178"", ""display_name"": ""FZI Research Center for Information Technology""}], ""countries"": [""DE""]}, {""id"": ""A5050260831"", ""name"": ""Hoang\u2010Anh Ngo"", ""institutions"": [{""id"": ""I52179390"", ""display_name"": ""University of Waikato""}], ""countries"": [""NZ""]}, {""id"": ""A5073159633"", ""name"": ""Max Halford"", ""institutions"": [], ""countries"": [""FR""]}, {""id"": ""A5069307015"", ""name"": ""Saulo Martiello Mastelini"", ""institutions"": [{""id"": ""I17974374"", ""display_name"": ""Universidade de S\u00e3o Paulo""}], ""countries"": [""BR""]}]","{""id"": ""subfields/1702"", ""display_name"": ""Artificial Intelligence""}","{'id': 'T12761', 'display_name': 'Data Stream Mining Techniques'}"
